"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","169","should update an existing group","👥 Client Services","Wed Sep 10 20:09:39 UTC 2025","failed","Wed Sep 10 20:09:39 UTC 2025","Client Management - Group Operations","Client Organization","",""
"","177","should delete a group","👥 Client Services","Wed Sep 10 20:09:43 UTC 2025","failed","Wed Sep 10 20:09:43 UTC 2025","Client Management - Group Operations","Client Organization","",""
"","178","should get all clients in a group","👥 Client Services","Wed Sep 10 20:09:49 UTC 2025","failed","Wed Sep 10 20:09:49 UTC 2025","Client Management - Group Operations","Client Organization","",""
"","178","should create tenant with typed client from @btshift/tenant-management-types","🏢 Business Operations","Wed Sep 10 20:12:11 UTC 2025","failed","Wed Sep 10 20:12:11 UTC 2025","Tenant Creation - Using Typed NPM Packages","api/features/tenant-management/onboarding/happy-path/typed-tenant-creation.api.spec.ts","",""
"","174","should list all groups for a tenant","👥 Client Services","Wed Sep 10 20:09:44 UTC 2025","failed","Wed Sep 10 20:09:44 UTC 2025","Client Management - Group Operations","Client Organization","",""
"","242","should reject token validation with expired token","Authentication","Wed Sep 10 20:10:16 UTC 2025","failed","Wed Sep 10 20:10:17 UTC 2025","Authentication - Invalid Credentials API Tests","api/features/identity/authentication/edge-cases/invalid-credentials.api.spec.ts","",""
"","186","should return 404 when getting tenant by non-existing ID","🏢 Business Operations","Wed Sep 10 20:11:58 UTC 2025","failed","Wed Sep 10 20:11:58 UTC 2025","Tenant Creation - Duplicate Prevention API Tests","api/features/tenant-management/onboarding/edge-cases/duplicate-tenant.api.spec.ts","",""
"","171","should get all users assigned to a client","👥 Client Services","Wed Sep 10 20:09:55 UTC 2025","failed","Wed Sep 10 20:09:55 UTC 2025","Client Management - User-Client Associations","Client-User Relationships","",""
"","0","should send 2FA code via SMS","chromium","Wed Sep 10 20:11:20 UTC 2025","skipped","Wed Sep 10 20:11:20 UTC 2025","Identity Service - Two-Factor Authentication Operations","api/features/identity/two-factor-auth/happy-path/2fa-operations.api.spec.ts","",""
"","178","should list all permissions","Permission Management","Wed Sep 10 20:10:54 UTC 2025","failed","Wed Sep 10 20:10:55 UTC 2025","Identity Service - Permission Management Operations","api/features/identity/permission-management/happy-path/permission-crud.api.spec.ts","",""
"","973","should cancel invitation","User Invitations","Wed Sep 10 20:10:40 UTC 2025","failed","Wed Sep 10 20:10:41 UTC 2025","Identity Service - Invitation Operations","api/features/identity/invitations/happy-path/invitation-operations.api.spec.ts","",""
"","348","should send user invitation","User Invitations","Wed Sep 10 20:10:32 UTC 2025","failed","Wed Sep 10 20:10:32 UTC 2025","Identity Service - Invitation Operations","api/features/identity/invitations/happy-path/invitation-operations.api.spec.ts","",""
"","174","should retrieve role by ID","Role Management","Wed Sep 10 20:11:06 UTC 2025","failed","Wed Sep 10 20:11:06 UTC 2025","Identity Service - Role Management Operations","api/features/identity/role-management/happy-path/role-crud.api.spec.ts","",""
"","1","should revoke specific session","chromium","Wed Sep 10 20:11:18 UTC 2025","skipped","Wed Sep 10 20:11:18 UTC 2025","Identity Service - Session Management Operations","api/features/identity/session-management/happy-path/session-operations.api.spec.ts","",""
"","0","should disable two-factor authentication","chromium","Wed Sep 10 20:11:20 UTC 2025","skipped","Wed Sep 10 20:11:20 UTC 2025","Identity Service - Two-Factor Authentication Operations","api/features/identity/two-factor-auth/happy-path/2fa-operations.api.spec.ts","",""
"","0","should refresh session","chromium","Wed Sep 10 20:11:18 UTC 2025","skipped","Wed Sep 10 20:11:18 UTC 2025","Identity Service - Session Management Operations","api/features/identity/session-management/happy-path/session-operations.api.spec.ts","",""
"","180","should delete role","Role Management","Wed Sep 10 20:11:08 UTC 2025","failed","Wed Sep 10 20:11:09 UTC 2025","Identity Service - Role Management Operations","api/features/identity/role-management/happy-path/role-crud.api.spec.ts","",""
"","174","should verify tenant exists check returns false for non-existing tenant","🏢 Business Operations","Wed Sep 10 20:11:55 UTC 2025","failed","Wed Sep 10 20:11:55 UTC 2025","Tenant Creation - Duplicate Prevention API Tests","api/features/tenant-management/onboarding/edge-cases/duplicate-tenant.api.spec.ts","",""
"","0","should get session statistics","chromium","Wed Sep 10 20:11:18 UTC 2025","skipped","Wed Sep 10 20:11:18 UTC 2025","Identity Service - Session Management Operations","api/features/identity/session-management/happy-path/session-operations.api.spec.ts","",""
"","184","should list tenants with typed client","🏢 Business Operations","Wed Sep 10 20:12:14 UTC 2025","passed","Wed Sep 10 20:12:14 UTC 2025","Tenant Creation - Using Typed NPM Packages","api/features/tenant-management/onboarding/happy-path/typed-tenant-creation.api.spec.ts","",""
"","165","should create a new permission","Permission Management","Wed Sep 10 20:10:47 UTC 2025","failed","Wed Sep 10 20:10:48 UTC 2025","Identity Service - Permission Management Operations","api/features/identity/permission-management/happy-path/permission-crud.api.spec.ts","",""
