"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","184","should create a new role","chromium","Sat Sep 06 16:23:38 UTC 2025","failed","Sat Sep 06 16:23:38 UTC 2025","Identity Service - Role Management Operations","api/features/identity/role-management/happy-path/role-crud.api.spec.ts","",""
"","192","should delete role","chromium","Sat Sep 06 16:23:45 UTC 2025","failed","Sat Sep 06 16:23:46 UTC 2025","Identity Service - Role Management Operations","api/features/identity/role-management/happy-path/role-crud.api.spec.ts","",""
"","187","should suspend an active tenant","chromium","Sat Sep 06 16:24:46 UTC 2025","failed","Sat Sep 06 16:24:46 UTC 2025","Tenant Management - Suspension Operations","api/features/tenant-management/suspension/happy-path/tenant-suspension.api.spec.ts","",""
"","122","should reject login with empty email","chromium","Sat Sep 06 16:22:47 UTC 2025","passed","Sat Sep 06 16:22:47 UTC 2025","Authentication - Invalid Credentials API Tests","api/features/identity/authentication/edge-cases/invalid-credentials.api.spec.ts","",""
"","0","should revoke specific session","chromium","Sat Sep 06 16:23:56 UTC 2025","skipped","Sat Sep 06 16:23:56 UTC 2025","Identity Service - Session Management Operations","api/features/identity/session-management/happy-path/session-operations.api.spec.ts","",""
"","188","should prevent creating tenant with duplicate tenant name","chromium","Sat Sep 06 16:24:13 UTC 2025","failed","Sat Sep 06 16:24:13 UTC 2025","Tenant Creation - Duplicate Prevention API Tests","api/features/tenant-management/onboarding/edge-cases/duplicate-tenant.api.spec.ts","",""
"","303","should create client with typed client from @btshift/client-management-types","chromium","Sat Sep 06 16:22:07 UTC 2025","failed","Sat Sep 06 16:22:07 UTC 2025","Client Management - CRUD with Typed NPM Packages","api/features/client-management/crud-operations/happy-path/typed-client-crud.api.spec.ts","",""
"","183","should get user by email","chromium","Sat Sep 06 16:24:08 UTC 2025","failed","Sat Sep 06 16:24:08 UTC 2025","Identity Service - User Management CRUD Operations","api/features/identity/user-management/happy-path/user-crud.api.spec.ts","",""
"","0","should reset password with valid token","chromium","Sat Sep 06 16:23:21 UTC 2025","skipped","Sat Sep 06 16:23:21 UTC 2025","Identity Service - Password Reset Operations","api/features/identity/password-reset/happy-path/password-reset.api.spec.ts","",""
"","200","should list all groups for a tenant","chromium","Sat Sep 06 16:22:22 UTC 2025","failed","Sat Sep 06 16:22:22 UTC 2025","Client Management - Group Operations","api/features/client-management/groups/happy-path/group-operations.api.spec.ts","",""
"","187","should successfully send welcome email after tenant activation","chromium","Sat Sep 06 16:24:34 UTC 2025","failed","Sat Sep 06 16:24:34 UTC 2025","Tenant Creation - Happy Path API Tests","api/features/tenant-management/onboarding/happy-path/tenant-creation.api.spec.ts","",""
"","0","should get session by ID","chromium","Sat Sep 06 16:23:56 UTC 2025","skipped","Sat Sep 06 16:23:56 UTC 2025","Identity Service - Session Management Operations","api/features/identity/session-management/happy-path/session-operations.api.spec.ts","",""
"","1","should get two-factor authentication status","chromium","Sat Sep 06 16:23:58 UTC 2025","skipped","Sat Sep 06 16:23:58 UTC 2025","Identity Service - Two-Factor Authentication Operations","api/features/identity/two-factor-auth/happy-path/2fa-operations.api.spec.ts","",""
"","182","should retrieve audit logs","chromium","Sat Sep 06 16:22:37 UTC 2025","failed","Sat Sep 06 16:22:37 UTC 2025","Identity Service - Audit Log Operations","api/features/identity/audit-logs/happy-path/audit-operations.api.spec.ts","",""
"","119","should reject token validation with invalid token","chromium","Sat Sep 06 16:22:47 UTC 2025","failed","Sat Sep 06 16:22:47 UTC 2025","Authentication - Invalid Credentials API Tests","api/features/identity/authentication/edge-cases/invalid-credentials.api.spec.ts","",""
"","184","should get user permissions","chromium","Sat Sep 06 16:23:35 UTC 2025","failed","Sat Sep 06 16:23:35 UTC 2025","Identity Service - Permission Management Operations","api/features/identity/permission-management/happy-path/permission-crud.api.spec.ts","",""
"","188","should track assignment metadata","chromium","Sat Sep 06 16:22:35 UTC 2025","failed","Sat Sep 06 16:22:36 UTC 2025","Client Management - User-Client Associations","api/features/client-management/user-associations/happy-path/user-client-associations.api.spec.ts","",""
"","122","should return appropriate error response for unauthorized access","chromium","Sat Sep 06 16:22:51 UTC 2025","failed","Sat Sep 06 16:22:51 UTC 2025","Authentication - Invalid Credentials API Tests","api/features/identity/authentication/edge-cases/invalid-credentials.api.spec.ts","",""
"","587","should get current user information with typed client","chromium","Sat Sep 06 16:23:02 UTC 2025","failed","Sat Sep 06 16:23:02 UTC 2025","Authentication - Login with Typed Client (Using NPM Packages)","api/features/identity/authentication/happy-path/typed-login.api.spec.ts","",""
"","270","should reject login with invalid password","chromium","Sat Sep 06 16:22:47 UTC 2025","passed","Sat Sep 06 16:22:47 UTC 2025","Authentication - Invalid Credentials API Tests","api/features/identity/authentication/edge-cases/invalid-credentials.api.spec.ts","",""
"","673","should refresh token with typed client","chromium","Sat Sep 06 16:23:03 UTC 2025","passed","Sat Sep 06 16:23:04 UTC 2025","Authentication - Login with Typed Client (Using NPM Packages)","api/features/identity/authentication/happy-path/typed-login.api.spec.ts","",""
"","0","should enforce password policy","chromium","Sat Sep 06 16:23:21 UTC 2025","skipped","Sat Sep 06 16:23:21 UTC 2025","Identity Service - Password Reset Operations","api/features/identity/password-reset/happy-path/password-reset.api.spec.ts","",""
"","455","should handle multiple failed login attempts gracefully","chromium","Sat Sep 06 16:22:50 UTC 2025","passed","Sat Sep 06 16:22:51 UTC 2025","Authentication - Invalid Credentials API Tests","api/features/identity/authentication/edge-cases/invalid-credentials.api.spec.ts","",""
"","182","should list users with pagination","chromium","Sat Sep 06 16:24:05 UTC 2025","failed","Sat Sep 06 16:24:05 UTC 2025","Identity Service - User Management CRUD Operations","api/features/identity/user-management/happy-path/user-crud.api.spec.ts","",""
"","199","should get tenant by ID with typed client","chromium","Sat Sep 06 16:24:38 UTC 2025","failed","Sat Sep 06 16:24:38 UTC 2025","Tenant Creation - Using Typed NPM Packages","api/features/tenant-management/onboarding/happy-path/typed-tenant-creation.api.spec.ts","",""
"","183","should retrieve user by ID","chromium","Sat Sep 06 16:24:00 UTC 2025","failed","Sat Sep 06 16:24:00 UTC 2025","Identity Service - User Management CRUD Operations","api/features/identity/user-management/happy-path/user-crud.api.spec.ts","",""
"","415","should return user information in login response","chromium","Sat Sep 06 16:22:55 UTC 2025","failed","Sat Sep 06 16:22:56 UTC 2025","Authentication - Login Happy Path API Tests","api/features/identity/authentication/happy-path/login.api.spec.ts","",""
"","0","should upgrade subscription from Starter to Professional","chromium","Sat Sep 06 16:24:45 UTC 2025","skipped","Sat Sep 06 16:24:45 UTC 2025","Tenant Management - Subscription Operations","api/features/tenant-management/subscription/happy-path/subscription-management.api.spec.ts","",""
"","1","should change password for authenticated user","chromium","Sat Sep 06 16:23:21 UTC 2025","skipped","Sat Sep 06 16:23:21 UTC 2025","Identity Service - Password Reset Operations","api/features/identity/password-reset/happy-path/password-reset.api.spec.ts","",""
"","185","should get audit log by ID","chromium","Sat Sep 06 16:22:43 UTC 2025","failed","Sat Sep 06 16:22:44 UTC 2025","Identity Service - Audit Log Operations","api/features/identity/audit-logs/happy-path/audit-operations.api.spec.ts","",""
"","0","should track session activity","chromium","Sat Sep 06 16:23:56 UTC 2025","skipped","Sat Sep 06 16:23:56 UTC 2025","Identity Service - Session Management Operations","api/features/identity/session-management/happy-path/session-operations.api.spec.ts","",""
